model,experiment,condition,class,precision,recall,f1,support
resnet,direct,0.1,ApplyEyeMakeup,0.6538,0.7984,0.7179,40
resnet,direct,0.1,ApplyLipstick,0.7363,0.784,0.7465,31
resnet,direct,0.1,Archery,0.4471,0.254,0.2832,40
resnet,direct,0.1,BabyCrawling,0.6758,0.843,0.7331,36
resnet,direct,0.1,BalanceBeam,0.598,0.8172,0.6828,30
resnet,direct,0.1,BandMarching,0.7804,0.8696,0.8212,44
resnet,direct,0.1,BaseballPitch,0.8719,0.7896,0.8241,41
resnet,direct,0.1,Basketball,0.5154,0.4501,0.4696,37
resnet,direct,0.1,BasketballDunk,0.8982,0.9833,0.9379,38
resnet,direct,0.1,BenchPress,0.924,0.8512,0.8654,45
resnet,direct,0.1,Biking,0.8959,0.7483,0.7946,38
resnet,direct,0.1,Billiards,0.9833,0.9683,0.9756,43
resnet,direct,0.1,BlowDryHair,0.5887,0.5163,0.5447,37
resnet,direct,0.1,BlowingCandles,0.6181,0.8949,0.7271,30
resnet,direct,0.1,BodyWeightSquats,0.4752,0.3819,0.4034,31
resnet,direct,0.1,Bowling,0.8149,0.876,0.8386,43
resnet,direct,0.1,BoxingPunchingBag,0.7095,0.2808,0.3985,45
resnet,direct,0.1,BoxingSpeedBag,0.7647,0.6527,0.6949,38
resnet,direct,0.1,BreastStroke,0.5949,0.6145,0.5936,28
resnet,direct,0.1,BrushingTeeth,0.3701,0.2707,0.3113,35
resnet,direct,0.1,CleanAndJerk,0.7431,0.8859,0.8054,32
resnet,direct,0.1,CliffDiving,0.565,0.7962,0.6558,39
resnet,direct,0.1,CricketBowling,0.6085,0.3695,0.373,39
resnet,direct,0.1,CricketShot,0.5933,0.3662,0.4276,47
resnet,direct,0.1,CuttingInKitchen,0.7054,0.8242,0.7465,31
resnet,direct,0.1,Diving,0.9096,0.8959,0.9026,42
resnet,direct,0.1,Drumming,0.9724,0.7383,0.8365,45
resnet,direct,0.1,Fencing,0.8364,0.8266,0.8264,32
resnet,direct,0.1,FieldHockeyPenalty,0.6432,0.8147,0.7145,36
resnet,direct,0.1,FloorGymnastics,0.6337,0.6925,0.6548,36
resnet,direct,0.1,FrisbeeCatch,0.776,0.7888,0.7778,36
resnet,direct,0.1,FrontCrawl,0.6525,0.6728,0.6477,38
resnet,direct,0.1,GolfSwing,0.7227,0.698,0.7016,37
resnet,direct,0.1,Haircut,0.4536,0.5477,0.484,35
resnet,direct,0.1,HammerThrow,0.0,0.0,0.0,42
resnet,direct,0.1,Hammering,0.0052,0.0079,0.0063,39
resnet,direct,0.1,HandstandPushups,0.6126,0.6382,0.6078,36
resnet,direct,0.1,HandstandWalking,0.2148,0.2992,0.2465,31
resnet,direct,0.1,HeadMassage,0.8536,0.5236,0.6428,41
resnet,direct,0.1,HighJump,0.381,0.3772,0.3748,34
resnet,direct,0.1,HorseRace,0.9426,0.9608,0.9494,35
resnet,direct,0.1,HorseRiding,0.8081,0.8963,0.8401,46
resnet,direct,0.1,HulaHoop,0.6575,0.5764,0.5807,35
resnet,direct,0.1,IceDancing,0.8578,0.9538,0.9025,43
resnet,direct,0.1,JavelinThrow,0.3717,0.3601,0.3589,32
resnet,direct,0.1,JugglingBalls,0.5392,0.6968,0.5926,34
resnet,direct,0.1,JumpRope,0.0267,0.0248,0.0246,40
resnet,direct,0.1,JumpingJack,0.0179,0.0323,0.023,35
resnet,direct,0.1,Kayaking,0.701,0.5258,0.5962,39
resnet,direct,0.1,Knitting,0.6365,0.9227,0.7523,35
resnet,direct,0.1,LongJump,0.6494,0.5899,0.61,38
resnet,direct,0.1,Lunges,0.4225,0.431,0.4098,36
resnet,direct,0.1,MilitaryParade,0.7701,0.6585,0.707,35
resnet,direct,0.1,Mixing,0.8608,0.7835,0.816,40
resnet,direct,0.1,MoppingFloor,0.3491,0.4643,0.3917,31
resnet,direct,0.1,Nunchucks,0.4453,0.2166,0.2795,37
resnet,direct,0.1,ParallelBars,0.9005,0.8471,0.8658,33
resnet,direct,0.1,PizzaTossing,0.2109,0.1397,0.1601,30
resnet,direct,0.1,PlayingCello,0.934,0.8279,0.8754,45
resnet,direct,0.1,PlayingDaf,0.7458,0.7854,0.7632,42
resnet,direct,0.1,PlayingDhol,0.886,0.8534,0.8677,46
resnet,direct,0.1,PlayingFlute,0.5646,0.6419,0.5928,44
resnet,direct,0.1,PlayingGuitar,0.9171,0.9265,0.9178,46
resnet,direct,0.1,PlayingPiano,0.8326,0.8139,0.8161,30
resnet,direct,0.1,PlayingSitar,0.9349,0.9078,0.9177,44
resnet,direct,0.1,PlayingTabla,0.8974,0.8283,0.854,31
resnet,direct,0.1,PlayingViolin,0.7553,0.6429,0.6331,28
resnet,direct,0.1,PoleVault,0.713,0.5609,0.6156,41
resnet,direct,0.1,PommelHorse,0.859,0.8087,0.8259,35
resnet,direct,0.1,PullUps,0.7644,0.8333,0.7865,28
resnet,direct,0.1,Punch,0.9056,0.8943,0.898,44
resnet,direct,0.1,PushUps,0.791,0.6659,0.7201,29
resnet,direct,0.1,Rafting,0.6872,0.8624,0.7639,32
resnet,direct,0.1,RockClimbingIndoor,0.6205,0.9401,0.7453,39
resnet,direct,0.1,RopeClimbing,0.4227,0.4105,0.3967,34
resnet,direct,0.1,Rowing,0.8396,0.6451,0.7255,39
resnet,direct,0.1,SalsaSpin,0.6994,0.6048,0.645,38
resnet,direct,0.1,ShavingBeard,0.5643,0.5061,0.5067,45
resnet,direct,0.1,Shotput,0.5459,0.3735,0.4245,41
resnet,direct,0.1,SkateBoarding,0.7461,0.7319,0.7274,34
resnet,direct,0.1,Skiing,0.6766,0.7694,0.7117,38
resnet,direct,0.1,Skijet,0.7033,0.6786,0.6002,28
resnet,direct,0.1,SkyDiving,0.6489,0.8286,0.7145,31
resnet,direct,0.1,SoccerJuggling,0.4228,0.49,0.4309,40
resnet,direct,0.1,SoccerPenalty,0.9434,0.8598,0.8978,39
resnet,direct,0.1,StillRings,0.7985,0.7974,0.7916,31
resnet,direct,0.1,SumoWrestling,0.9363,0.8693,0.897,33
resnet,direct,0.1,Surfing,0.8838,0.8592,0.8679,37
resnet,direct,0.1,Swing,0.8851,0.5861,0.7019,37
resnet,direct,0.1,TableTennisShot,0.8757,0.5925,0.7024,37
resnet,direct,0.1,TaiChi,0.4468,0.5595,0.4906,28
resnet,direct,0.1,TennisSwing,0.7193,0.8079,0.7553,47
resnet,direct,0.1,ThrowDiscus,0.5238,0.5035,0.4794,37
resnet,direct,0.1,TrampolineJumping,0.7635,0.7909,0.7727,34
resnet,direct,0.1,Typing,0.8677,0.686,0.7499,40
resnet,direct,0.1,UnevenBars,0.8748,0.8557,0.8632,29
resnet,direct,0.1,VolleyballSpiking,0.8276,0.8888,0.8519,33
resnet,direct,0.1,WalkingWithDog,0.7014,0.5118,0.5908,35
resnet,direct,0.1,WallPushups,0.7326,0.5923,0.5995,38
resnet,direct,0.1,WritingOnBoard,0.8559,0.8379,0.8328,41
resnet,direct,0.1,YoYo,0.5411,0.4656,0.4583,36
resnet,direct,0.25,ApplyEyeMakeup,0.7216,0.6354,0.6422,40
resnet,direct,0.25,ApplyLipstick,0.6396,0.8684,0.7105,31
resnet,direct,0.25,Archery,0.568,0.3241,0.4067,40
resnet,direct,0.25,BabyCrawling,0.8054,0.7746,0.7767,36
resnet,direct,0.25,BalanceBeam,0.7899,0.8172,0.7794,30
resnet,direct,0.25,BandMarching,0.7398,0.8457,0.7805,44
resnet,direct,0.25,BaseballPitch,0.8499,0.8029,0.8217,41
resnet,direct,0.25,Basketball,0.5889,0.4051,0.4414,37
resnet,direct,0.25,BasketballDunk,0.9167,0.9743,0.9393,38
resnet,direct,0.25,BenchPress,0.9519,0.9841,0.9667,45
resnet,direct,0.25,Biking,0.9103,0.784,0.8238,38
resnet,direct,0.25,Billiards,0.9337,0.9599,0.9462,43
resnet,direct,0.25,BlowDryHair,0.4577,0.5818,0.5102,37
resnet,direct,0.25,BlowingCandles,0.8384,0.8586,0.8428,30
resnet,direct,0.25,BodyWeightSquats,0.538,0.4347,0.3974,31
resnet,direct,0.25,Bowling,0.9143,0.9225,0.9146,43
resnet,direct,0.25,BoxingPunchingBag,0.7391,0.4763,0.5661,45
resnet,direct,0.25,BoxingSpeedBag,0.8808,0.7802,0.8229,38
resnet,direct,0.25,BreastStroke,0.6613,0.7767,0.7042,28
resnet,direct,0.25,BrushingTeeth,0.4028,0.3263,0.3504,35
resnet,direct,0.25,CleanAndJerk,0.7107,0.8455,0.7694,32
resnet,direct,0.25,CliffDiving,0.602,0.7767,0.6572,39
resnet,direct,0.25,CricketBowling,0.4282,0.4387,0.4232,39
resnet,direct,0.25,CricketShot,0.5436,0.2992,0.3786,47
resnet,direct,0.25,CuttingInKitchen,0.7147,0.8856,0.7873,31
resnet,direct,0.25,Diving,0.9278,0.9609,0.9429,42
resnet,direct,0.25,Drumming,0.9462,0.6799,0.7633,45
resnet,direct,0.25,Fencing,0.8666,0.7146,0.7769,32
resnet,direct,0.25,FieldHockeyPenalty,0.7193,0.8196,0.7594,36
resnet,direct,0.25,FloorGymnastics,0.7264,0.833,0.7731,36
resnet,direct,0.25,FrisbeeCatch,0.7387,0.8707,0.7976,36
resnet,direct,0.25,FrontCrawl,0.7595,0.6011,0.6155,38
resnet,direct,0.25,GolfSwing,0.7507,0.7438,0.7446,37
resnet,direct,0.25,Haircut,0.5696,0.4701,0.5061,35
resnet,direct,0.25,HammerThrow,0.0,0.0,0.0,42
resnet,direct,0.25,Hammering,0.0098,0.0159,0.0121,39
resnet,direct,0.25,HandstandPushups,0.6787,0.8081,0.7192,36
resnet,direct,0.25,HandstandWalking,0.155,0.2313,0.1714,31
resnet,direct,0.25,HeadMassage,0.7138,0.573,0.5705,41
resnet,direct,0.25,HighJump,0.4192,0.563,0.4166,34
resnet,direct,0.25,HorseRace,0.9169,0.981,0.9464,35
resnet,direct,0.25,HorseRiding,0.9252,0.9099,0.9152,46
resnet,direct,0.25,HulaHoop,0.6345,0.7767,0.6278,35
resnet,direct,0.25,IceDancing,0.9191,0.9689,0.9433,43
resnet,direct,0.25,JavelinThrow,0.404,0.2515,0.2722,32
resnet,direct,0.25,JugglingBalls,0.5326,0.6831,0.5611,34
resnet,direct,0.25,JumpRope,0.0,0.0,0.0,40
resnet,direct,0.25,JumpingJack,0.0095,0.0108,0.0101,35
resnet,direct,0.25,Kayaking,0.7517,0.498,0.5939,39
resnet,direct,0.25,Knitting,0.8424,0.884,0.8615,35
resnet,direct,0.25,LongJump,0.7999,0.5426,0.6204,38
resnet,direct,0.25,Lunges,0.3655,0.3981,0.371,36
resnet,direct,0.25,MilitaryParade,0.8264,0.6504,0.7141,35
resnet,direct,0.25,Mixing,0.8235,0.8048,0.8017,40
resnet,direct,0.25,MoppingFloor,0.3199,0.6168,0.4188,31
resnet,direct,0.25,Nunchucks,0.6007,0.3146,0.4112,37
resnet,direct,0.25,ParallelBars,0.8708,0.92,0.8938,33
resnet,direct,0.25,PizzaTossing,0.3359,0.2201,0.2646,30
resnet,direct,0.25,PlayingCello,0.9681,0.8724,0.914,45
resnet,direct,0.25,PlayingDaf,0.7259,0.8499,0.7798,42
resnet,direct,0.25,PlayingDhol,0.9382,0.8566,0.8953,46
resnet,direct,0.25,PlayingFlute,0.6522,0.7302,0.6804,44
resnet,direct,0.25,PlayingGuitar,0.8795,1.0,0.9352,46
resnet,direct,0.25,PlayingPiano,0.8111,0.9102,0.8562,30
resnet,direct,0.25,PlayingSitar,0.9743,0.8586,0.9119,44
resnet,direct,0.25,PlayingTabla,0.8953,0.9049,0.8955,31
resnet,direct,0.25,PlayingViolin,0.8181,0.7619,0.7504,28
resnet,direct,0.25,PoleVault,0.7813,0.6811,0.706,41
resnet,direct,0.25,PommelHorse,0.9318,0.8078,0.8652,35
resnet,direct,0.25,PullUps,0.7976,0.75,0.7633,28
resnet,direct,0.25,Punch,0.8401,0.8932,0.8647,44
resnet,direct,0.25,PushUps,0.8611,0.6397,0.7206,29
resnet,direct,0.25,Rafting,0.6944,0.8948,0.7734,32
resnet,direct,0.25,RockClimbingIndoor,0.7387,0.9032,0.811,39
resnet,direct,0.25,RopeClimbing,0.5409,0.4472,0.4598,34
resnet,direct,0.25,Rowing,0.8372,0.7585,0.774,39
resnet,direct,0.25,SalsaSpin,0.7653,0.8083,0.7753,38
resnet,direct,0.25,ShavingBeard,0.5582,0.5943,0.5714,45
resnet,direct,0.25,Shotput,0.6915,0.3436,0.4455,41
resnet,direct,0.25,SkateBoarding,0.8626,0.8322,0.8391,34
resnet,direct,0.25,Skiing,0.8589,0.8345,0.8461,38
resnet,direct,0.25,Skijet,0.7518,0.7619,0.7169,28
resnet,direct,0.25,SkyDiving,0.7289,0.8295,0.7564,31
resnet,direct,0.25,SoccerJuggling,0.6579,0.642,0.6383,40
resnet,direct,0.25,SoccerPenalty,0.9145,0.83,0.8657,39
resnet,direct,0.25,StillRings,0.887,0.6797,0.7662,31
resnet,direct,0.25,SumoWrestling,0.9268,0.8693,0.8865,33
resnet,direct,0.25,Surfing,0.9049,0.8807,0.8905,37
resnet,direct,0.25,Swing,0.887,0.5506,0.6724,37
resnet,direct,0.25,TableTennisShot,0.8826,0.6486,0.7426,37
resnet,direct,0.25,TaiChi,0.6046,0.6429,0.6076,28
resnet,direct,0.25,TennisSwing,0.7138,0.7075,0.709,47
resnet,direct,0.25,ThrowDiscus,0.4903,0.4836,0.4752,37
resnet,direct,0.25,TrampolineJumping,0.8308,0.7936,0.8053,34
resnet,direct,0.25,Typing,0.7714,0.9338,0.8437,40
resnet,direct,0.25,UnevenBars,0.9004,0.811,0.8459,29
resnet,direct,0.25,VolleyballSpiking,0.7986,0.8558,0.8254,33
resnet,direct,0.25,WalkingWithDog,0.8652,0.6855,0.764,35
resnet,direct,0.25,WallPushups,0.7967,0.8556,0.8112,38
resnet,direct,0.25,WritingOnBoard,0.9354,0.7691,0.84,41
resnet,direct,0.25,YoYo,0.66,0.4862,0.5431,36
resnet,direct,0.5,ApplyEyeMakeup,0.7954,0.6808,0.7336,40
resnet,direct,0.5,ApplyLipstick,0.6916,0.8241,0.7331,31
